,brand,model,model_target_ratings
0,wmf,04 1627 0011,{'服务': {'包装': 58.02}}
1,bear/小熊,JBQ-D131,"{'功能': {'功率': 45.39, '小米': 24.05, '果汁': 27.87, '榨汁': 38.2, '水果': 31.16, '渣渣': 46.51, '用途': 50.4, '破壁': 41.04, '米糊': 65.89, '粉末': 34.98, '紫薯': 5.73, '纸盒': 0.0, '苹果': 47.79, '辅食': 70.97, '咖啡豆': 0.0, '番茄汁': 28.72, '芹菜汁': 20.88}, '服务': {'亲们': 34.13, '包装': 79.53, '卖家': 64.65, '好评': 34.83, '客服': 71.69, '态度': 73.8, '果泥': 36.39, '白熊': 0.0, '老客户': 22.21, '说明书': 68.87, '服务态度': 73.49}, '款式': {'大小': 33.12, '颜色': 43.26, '很漂亮': 40.31}, '质量': {'噪音': 78.68, '声音': 85.93, '外壳': 40.66, '实物': 34.77, '性能': 34.83, '挺好': 62.39, '质量': 82.33, '塑料味': 0.0, '实用性': 50.92}}"
2,wmf,04.1635.9911,
3,欧八,欧八HL-A,
4,韩伟,M780,"{'质量': {'声音': 69.2, '质量': 57.71}}"
5,bear/小熊,JBQ-D1355,"{'功能': {'一块': 12.17, '两用': 20.96, '出汁': 63.67, '功率': 81.41, '南瓜': 31.77, '奶油': 62.82, '手打': 10.24, '打蛋': 68.42, '效率': 49.48, '早餐': 34.82, '木瓜': 17.89, '果汁': 79.67, '果粒': 34.1, '果肉': 43.34, '桃泥': 8.78, '榨汁': 83.5, '橙子': 22.61, '水果': 81.56, '渣渣': 57.99, '熟肉': 0.0, '用途': 35.98, '米粉': 30.7, '米糊': 78.17, '纤维': 34.69, '肉松': 37.84, '苹果': 35.83, '菜泥': 32.18, '蔬菜': 57.85, '蛋液': 11.96, '蛋糕': 65.03, '西瓜': 33.84, '转速': 37.0, '辅食': 79.55, '雪糕': 11.96, '零食': 11.96, '食材': 25.92, '食物': 72.88, '香蕉': 69.39, '鱼丸': 9.0, '内包装': 21.25, '功能性': 39.01, '打蛋器': 66.25, '打鸡蛋': 69.76, '效率高': 11.52, '榨汁机': 46.04, '研磨机': 26.19, '胡萝卜': 33.42, '苹果汁': 38.11, '苹果泥': 54.24, '蔬菜泥': 33.71, '西兰花': 5.73, '西瓜汁': 69.67, '速度快': 69.45, '银耳羹': 11.96, '香蕉泥': 54.13, '省时省力': 36.31, '胡萝卜汁': 32.36}, '服务': {'买家': 44.4, '五星': 40.59, '亲们': 36.75, '信誉': 59.65, '包装': 93.33, '卖家': 84.99, '好评': 78.49, '客服': 87.65, '差评': 0.0, '店家': 69.28, '态度': 87.67, '换货': 0.0, '果泥': 75.43, '淘宝': 31.17, '盒子': 0.0, '箱子': 0.0, '素质': 0.0, '赠品': 39.77, '包装盒': 0.0, '外包装': 34.82, '店主人': 35.72, '老客户': 45.28, '说明书': 39.25, '售后服务': 78.1, '有问必答': 34.52, '服务态度': 89.13}, '款式': {'个子': 6.7, '体积': 75.33, '分量': 33.38, '外型': 34.02, '外形': 68.23, '够大': 32.11, '大小': 35.36, '手感': 78.23, '机身': 55.8, '款式': 36.27, '神器': 35.77, '紫色': 17.91, '色彩': 22.72, '颜值': 81.29, '颜色': 88.7, '很漂亮': 79.81, '外观设计': 36.62}, '质量': {'刀头': 42.91, '刀子': 61.68, '原料': 0.0, '厨房': 44.11, '商品': 81.08, '噪声': 68.98, '噪音': 81.41, '声音': 91.18, '实物': 75.88, '小块': 13.94, '岁数': 7.01, '工艺': 31.23, '开关': 42.05, '很沉': 56.46, '成品': 36.1, '挺好': 89.18, '挺棒': 21.75, '料子': 15.22, '杯盖': 34.26, '气味': 38.92, '烂烂': 22.87, '烫手': 0.0, '物美': 31.56, '玻璃': 43.17, '用料': 33.26, '电线': 37.85, '盖子': 0.0, '细点': 6.89, '缝隙': 51.25, '芡实': 0.0, '质量': 94.02, '贴合': 12.28, '黏稠': 12.28, '塑料味': 0.0, '实用性': 51.68, '密封圈': 0.0, '电源线': 39.05, '试一下': 67.56}}"
6,bear/小熊,LB-P919,
7,bear/小熊,LB-P928,
8,bosch/博世,MSM2410,"{'质量': {'噪音': 46.88, '质量': 39.75}}"
9,bosch/博世,MSM66020,
