,biz,brand,model,score,serial,submarket,target,ts_price
0,13.0,wmf,04 1627 0011,0.0,wmf-04 1627 0011,婴儿辅食,,1716.0
1,379.0,bear/小熊,JBQ-D131,0.0,bear/小熊-JBQ-D131,婴儿辅食,,52433.0
2,379.0,bear/小熊,JBQ-D131,0.0,bear/小熊-JBQ-D131,手持,,52433.0
3,1.0,wmf,04.1635.9911,0.0,wmf-04.1635.9911,婴儿辅食,,728.0
4,1.0,wmf,04.1635.9911,0.0,wmf-04.1635.9911,手持,,728.0
5,23.0,欧八,欧八HL-A,-1.0,欧八-欧八HL-A,全自动,物流-物流,3864.0
6,6.0,韩伟,M780,0.0,韩伟-M780,全自动,,2394.0
7,6.0,韩伟,M780,0.0,韩伟-M780,婴儿辅食,,2394.0
8,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,婴儿辅食,价格-价格,125247.0
9,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,婴儿辅食,价格-性价比,125247.0
10,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,婴儿辅食,功能-米糊,125247.0
11,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,婴儿辅食,服务-客服,125247.0
12,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,婴儿辅食,物流-物流,125247.0
13,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,婴儿辅食,质量-噪音,125247.0
14,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,婴儿辅食,质量-声音,125247.0
15,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,婴儿辅食,质量-挺好,125247.0
16,1111.0,bear/小熊,JBQ-D1355,4.0,bear/小熊-JBQ-D1355,婴儿辅食,质量-质量,125247.0
17,1111.0,bear/小熊,JBQ-D1355,4.0,bear/小熊-JBQ-D1355,婴儿辅食,适用人群-宝贝,125247.0
18,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,婴儿辅食,适用人群-朋友,125247.0
19,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,小容量,价格-价格,125247.0
20,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,小容量,价格-性价比,125247.0
